Identifier,value1,value2,value3,g,l,s,m,e
180.0,64,24,94,0,0,1,0,0
180.0,65,24,95,0,0,1,0,0
180.0,64,23,95,0,0,1,0,0
180.0,72,23,92,0,0,1,0,0
180.0,69,23,92,0,0,1,0,0
180.0,72,23,93,0,0,1,0,0
180.0,73,23,94,0,0,1,0,0
180.0,75,22,94,0,0,1,0,0
180.0,77,23,94,0,0,1,0,0
180.0,83,22,93,0,0,1,0,0
180.0,80,22,92,0,0,1,0,0
180.0,83,22,93,0,0,1,0,0
180.0,78,22,95,0,0,1,0,0
180.0,73,21,94,0,0,1,0,0
180.0,78,21,94,0,0,1,0,0
180.0,78,22,94,0,0,1,0,0
180.0,76,22,91,0,0,1,0,0
180.0,77,20,94,0,0,1,0,0
180.0,79,21,93,0,0,1,0,0
180.0,80,23,93,0,0,1,0,0
180.0,80,23,93,0,0,1,0,0
180.0,80,23,95,0,0,1,0,0
180.0,82,22,95,0,0,1,0,0
180.0,84,21,94,0,0,1,0,0
180.0,81,22,94,0,0,1,0,0
180.0,81,22,94,0,0,1,0,0
180.0,84,21,94,0,0,1,0,0
180.0,83,19,94,0,0,1,0,0
180.0,85,21,92,0,0,1,0,0
180.0,86,22,95,0,0,1,0,0
180.0,86,23,92,0,0,1,0,0
180.0,88,22,95,0,0,1,0,0
180.0,82,21,96,0,0,1,0,0
180.0,80,24,93,0,0,1,0,0
180.0,83,22,95,0,0,1,0,0
180.0,85,23,94,0,0,1,0,0
180.0,85,21,95,0,0,1,0,0
180.0,87,24,94,0,0,1,0,0
180.0,90,22,94,0,0,1,0,0
180.0,95,22,95,0,0,1,0,0
180.0,96,22,95,0,0,1,0,0
180.0,90,22,94,0,0,1,0,0
180.0,95,23,93,0,0,1,0,0
180.0,91,23,93,0,0,1,0,0
180.0,93,23,94,0,0,1,0,0
180.0,94,21,96,0,0,1,0,0
180.0,83,21,93,0,0,1,0,0
180.0,80,22,94,0,0,1,0,0
180.0,79,21,93,0,0,1,0,0
180.0,81,20,92,0,0,1,0,0
180.0,81,23,95,0,0,1,0,0
180.0,85,21,93,0,0,1,0,0
180.0,89,21,96,0,0,1,0,0
180.0,103,21,94,0,0,1,0,0
180.0,99,22,92,0,0,1,0,0
180.0,102,23,92,0,0,1,0,0
180.0,102,21,91,0,0,1,0,0
180.0,96,21,92,0,0,1,0,0
180.0,96,20,95,0,0,1,0,0
180.0,93,22,93,0,0,1,0,0
180.0,89,23,93,0,0,1,0,0
180.0,98,20,93,0,0,1,0,0
180.0,102,22,93,0,0,1,0,0
180.0,99,22,92,0,0,1,0,0
180.0,98,21,92,0,0,1,0,0
180.0,98,22,92,0,0,1,0,0
180.0,101,21,90,0,0,1,0,0
180.0,97,21,92,0,0,1,0,0
180.0,95,21,92,0,0,1,0,0
180.0,95,21,94,0,0,1,0,0
180.0,97,22,93,0,0,1,0,0
180.0,97,21,92,0,0,1,0,0
180.0,95,21,93,0,0,1,0,0
180.0,98,22,91,0,0,1,0,0
180.0,98,21,92,0,0,1,0,0
180.0,98,23,92,0,0,1,0,0
180.0,98,21,93,0,0,1,0,0
180.0,98,22,94,0,0,1,0,0
180.0,98,22,92,0,0,1,0,0
180.0,97,22,92,0,0,1,0,0
180.0,96,23,93,0,0,1,0,0
180.0,99,21,92,0,0,1,0,0
180.0,98,21,90,0,0,1,0,0
180.0,97,24,92,0,0,1,0,0
180.0,99,22,92,0,0,1,0,0
180.0,98,22,94,0,0,1,0,0
180.0,96,22,92,0,0,1,0,0
180.0,97,22,92,0,0,1,0,0
180.0,95,21,92,0,0,1,0,0
180.0,97,22,95,0,0,1,0,0
180.0,88,22,95,0,0,1,0,0
180.0,86,22,92,0,0,1,0,0
180.0,87,21,93,0,0,1,0,0
180.0,87,21,92,0,0,1,0,0
180.0,89,22,94,0,0,1,0,0
180.0,89,22,91,0,0,1,0,0
180.0,89,22,92,0,0,1,0,0
180.0,86,21,92,0,0,1,0,0
180.0,89,24,93,0,0,1,0,0
180.0,90,23,92,0,0,1,0,0
180.0,90,22,94,0,0,1,0,0
180.0,92,24,90,0,0,1,0,0
180.0,93,21,91,0,0,1,0,0
180.0,98,22,92,0,0,1,0,0
