Identifier,value1,value2,value3,g,l,s,m,e,Goodness
0.9,0.999877915,0.017580271,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017336101,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003174216,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.004028812,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017336101,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017214015,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017336101,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017336101,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.004028812,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017336101,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017336101,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003296301,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017336101,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.004028812,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003540471,0,1,0,0,0,25
